nd_id,ca_id,hy,value
0,0,576,5465.582186251
0,0,577,5329.613185418
0,0,578,5162.104421682
0,0,579,5122.745936918
0,0,580,5232.735069594
0,0,581,5307.963728622
0,0,582,5794.608360051
0,0,583,6190.118412053
0,0,584,6610.521973059
0,0,585,6868.12136617
0,0,586,7063.545966471
0,0,587,6809.482058434
0,0,588,6635.047932385
0,0,589,6445.012122266
0,0,590,6451.35405507
0,0,591,6575.212741314
0,0,592,7028.949379938
0,0,593,7254.963874379
0,0,594,7022.21164213
0,0,595,6700.582745985
0,0,596,6429.434916441
0,0,597,6541.304637943
0,0,598,6183.287673226
0,0,599,5921.847541062
0,0,600,5702.530219128
0,0,601,5658.830034382
0,0,602,5533.058547106
0,0,603,5731.526037622
0,0,604,6370.615661161
0,0,605,7401.047379522
0,0,606,8274.589807819
0,0,607,8551.325498076
0,0,608,8648.732674916
0,0,609,8650.824201356
0,0,610,8649.939426044
0,0,611,8450.07925269
0,0,612,8473.773937931
0,0,613,8351.907034622
0,0,614,8307.693864687
0,0,615,8362.372518885
0,0,616,8901.215273725
0,0,617,8917.960133689
0,0,618,8449.52794035
0,0,619,7901.847722821
0,0,620,7408.18901132
0,0,621,7274.309569337
0,0,622,6807.0964953
0,0,623,6447.340722099
0,0,624,6187.270568042
0,0,625,6008.688493318
0,0,626,5855.947509472
0,0,627,5991.428473747
0,0,628,6544.754912113
0,0,629,7504.38073897
0,0,630,8419.940204928
0,0,631,8663.848684716
0,0,632,8746.73471541
0,0,633,8843.70578432
0,0,634,8833.408143463
0,0,635,8614.065940145
0,0,636,8525.141342986
0,0,637,8433.398982022
0,0,638,8388.282564111
0,0,639,8484.306117751
0,0,640,8856.007965118
0,0,641,8799.920838162
0,0,642,8304.139148887
0,0,643,7737.779933345
0,0,644,7124.384296228
0,0,645,7019.739687267
0,0,646,6557.376891901
0,0,647,6194.764878085
0,0,648,5910.434752883
0,0,649,5804.077614789
0,0,650,5667.288288621
0,0,651,5813.41208147
0,0,652,6457.924056504
0,0,653,7449.006195319
0,0,654,8379.499684974
0,0,655,8568.21865703
0,0,656,8616.691363303
0,0,657,8661.150289668
0,0,658,8635.776032217
0,0,659,8439.47097794
0,0,660,8387.238953973
0,0,661,8333.424589936
0,0,662,8295.20636947
0,0,663,8436.050873763
0,0,664,8930.319661531
0,0,665,8939.285809721
0,0,666,8453.921878295
0,0,667,7915.789532851
0,0,668,7409.679881842
0,0,669,7261.881893434
0,0,670,6761.634044655
0,0,671,6425.920957353
0,0,672,6131.986583248
0,0,673,5980.00272098
0,0,674,5819.459737435
0,0,675,5931.494232278
0,0,676,6478.582046097
0,0,677,7450.852851764
0,0,678,8383.738478747
0,0,679,8666.090289057
0,0,680,8802.939158872
0,0,681,8879.511688327
0,0,682,8935.518073302
0,0,683,8721.214003383
0,0,684,8629.794478249
0,0,685,8466.118915588
0,0,686,8354.366369701
0,0,687,8444.825428394
0,0,688,8827.896791657
0,0,689,8777.560603671
0,0,690,8305.502777263
0,0,691,7762.688616762
0,0,692,7205.999586065
0,0,693,7059.914468668
0,0,694,6616.375457491
0,0,695,6266.045673985
0,0,696,6007.783986585
0,0,697,5853.413860591
0,0,698,5700.823875222
0,0,699,5855.081134345
0,0,700,6406.228544543
0,0,701,7330.081842191
0,0,702,8234.47774041
0,0,703,8613.362784447
0,0,704,8726.185916752
0,0,705,8905.313421057
0,0,706,8948.663655208
0,0,707,8719.122697646
0,0,708,8483.29778893
0,0,709,8382.744115538
0,0,710,8228.927067514
0,0,711,8335.759771885
0,0,712,8764.137003934
0,0,713,8566.183315841
0,0,714,8091.919823484
0,0,715,7555.190360442
0,0,716,6996.940795643
0,0,717,7009.460992449
0,0,718,6618.245212484
0,0,719,6288.52151538
0,0,720,5988.285016463
0,0,721,5767.373579126
0,0,722,5532.112436472
0,0,723,5529.673713253
0,0,724,5729.12152645
0,0,725,5995.250342321
0,0,726,6579.100144861
0,0,727,6997.113110786
0,0,728,7251.519146615
0,0,729,7355.349694418
0,0,730,7328.95867254
0,0,731,7121.396945745
0,0,732,6927.7547236
0,0,733,6797.568312644
0,0,734,6781.318491028
0,0,735,6830.655895298
0,0,736,7421.919937937
0,0,737,7504.180784628
0,0,738,7140.669809358
0,0,739,6733.794664995
0,0,740,6333.45427965
0,0,741,6407.7530978
0,0,742,6065.850663324
0,0,743,5783.93607141
0,0,744,5536.879482452
0,0,745,5410.789556632
0,0,746,5186.767545745
0,0,747,5113.257295149
0,0,748,5235.393809919
0,0,749,5306.974743659
0,0,750,5760.382679183
0,0,751,6168.174161749
0,0,752,6567.295064099
0,0,753,6846.541361706
0,0,754,6929.945935868
0,0,755,6701.819712807
0,0,756,6460.32433557
0,0,757,6347.808538113
0,0,758,6274.192736996
0,0,759,6439.665840795
0,0,760,6931.572722942
0,0,761,7128.23327213
0,0,762,6922.3416187
0,0,763,6649.684809107
0,0,764,6329.390488148
0,0,765,6402.485011969
0,0,766,6108.320969679
0,0,767,5826.253157479
0,0,768,5616.544361804
0,0,769,5516.747083998
0,0,770,5420.420618405
0,0,771,5643.481306525
0,0,772,6286.944072232
0,0,773,7264.652395873
0,0,774,8172.414042389
0,0,775,8442.30658934
0,0,776,8520.493840451
0,0,777,8620.183687363
0,0,778,8694.324929952
0,0,779,8550.127554346
0,0,780,8489.344910738
0,0,781,8362.661194142
0,0,782,8239.214826255
0,0,783,8277.566658493
0,0,784,8762.783417065
0,0,785,8781.98119889
0,0,786,8339.763391329
0,0,787,7781.363505805
0,0,788,7270.02726961
0,0,789,7132.5506634
0,0,790,6713.538071005
0,0,791,6371.297136169
0,0,792,6068.756968097
0,0,793,5932.275037839
0,0,794,5800.529674555
0,0,795,5926.148481053
0,0,796,6563.028715429
0,0,797,7461.516586593
0,0,798,8353.324216606
0,0,799,8540.211136707
0,0,800,8502.177435085
0,0,801,8546.008801414
0,0,802,8506.207963458
0,0,803,8280.50594011
0,0,804,8181.695865115
0,0,805,8140.090563952
0,0,806,8159.918903607
0,0,807,8180.223088022
0,0,808,8693.248871217
0,0,809,8783.767979802
0,0,810,8281.214538298
0,0,811,7752.093484262
0,0,812,7266.310982311
0,0,813,7161.144774661
0,0,814,6716.932194256
0,0,815,6371.646864389
0,0,816,6177.321835259
0,0,817,6026.742718121
0,0,818,5823.910611984
0,0,819,5957.180218453
0,0,820,6510.122773724
0,0,821,7434.598686449
0,0,822,8365.877281666
0,0,823,8688.950588871
0,0,824,8769.966584553
0,0,825,8836.797001214
0,0,826,8844.140734543
