hy,nd_id,fl_id,value
217,1,17,32.04
217,2,17,13.7
217,3,17,13.7
218,1,17,32.0
218,2,17,11.01
218,3,17,11.01
219,1,17,29.86
219,2,17,9.08
219,3,17,9.08
220,1,17,32.0
220,2,17,9.28
220,3,17,9.28
221,1,17,30.99
221,2,17,7.19
221,3,17,11.76
222,1,17,37.08
222,2,17,9.31
222,3,17,15.84
223,1,17,41.06
223,2,17,11.35
223,3,17,16.93
224,1,17,41.47
224,2,17,15.87
224,3,17,18.11
225,1,17,42.01
225,2,17,15.84
225,3,17,19.19
226,1,17,42.75
226,2,17,14.83
226,3,17,19.25
227,1,17,41.81
227,2,17,15.83
227,3,17,20.47
228,1,17,37.06
228,2,17,14.85
228,3,17,18.21
229,1,17,41.1
229,2,17,11.42
229,3,17,16.21
230,1,17,43.71
230,2,17,11.34
230,3,17,11.34
231,1,17,44.92
231,2,17,14.15
231,3,17,14.15
232,1,17,45.83
232,2,17,17.09
232,3,17,18.64
233,1,17,44.96
233,2,17,18.87
233,3,17,24.45
234,1,17,42.05
234,2,17,13.44
234,3,17,27.75
235,1,17,41.42
235,2,17,15.82
235,3,17,24.56
236,1,17,41.4
236,2,17,11.51
236,3,17,18.75
237,1,17,41.45
237,2,17,11.81
237,3,17,25.81
238,1,17,32.07
238,2,17,5.08
238,3,17,27.67
239,1,17,37.63
239,2,17,0.05
239,3,17,26.95
240,1,17,29.37
240,2,17,-2.06
240,3,17,24.22
241,1,17,25.09
241,2,17,-4.11
241,3,17,27.08
242,1,17,12.08
242,2,17,-5.06
242,3,17,20.91
243,1,17,11.02
243,2,17,-4.12
243,3,17,13.09
244,1,17,11.09
244,2,17,-0.74
244,3,17,16.41
245,1,17,21.09
245,2,17,-25.02
245,3,17,18.72
246,1,17,15.5
246,2,17,-16.94
246,3,17,17.21
247,1,17,18.39
247,2,17,-6.86
247,3,17,21.2
248,1,17,28.65
248,2,17,1.53
248,3,17,25.96
249,1,17,33.88
249,2,17,5.61
249,3,17,28.83
250,1,17,33.93
250,2,17,9.91
250,3,17,30.73
251,1,17,36.59
251,2,17,8.71
251,3,17,31.8
252,1,17,20.63
252,2,17,-0.09
252,3,17,30.37
253,1,17,29.58
253,2,17,-0.07
253,3,17,23.39
254,1,17,34.93
254,2,17,-1.8
254,3,17,12.7
255,1,17,43.0
255,2,17,0.61
255,3,17,18.49
256,1,17,45.02
256,2,17,13.51
256,3,17,25.81
257,1,17,45.1
257,2,17,11.44
257,3,17,35.48
258,1,17,44.33
258,2,17,14.88
258,3,17,42.0
259,1,17,42.93
259,2,17,9.63
259,3,17,36.08
260,1,17,43.04
260,2,17,9.29
260,3,17,31.8
261,1,17,41.98
261,2,17,10.18
261,3,17,33.0
262,1,17,38.7
262,2,17,-2.0
262,3,17,32.19
263,1,17,28.08
263,2,17,9.3
263,3,17,27.59
264,1,17,25.06
264,2,17,2.87
264,3,17,26.81
265,1,17,19.66
265,2,17,0.09
265,3,17,25.75
266,1,17,14.67
266,2,17,0.26
266,3,17,17.86
267,1,17,23.45
267,2,17,2.83
267,3,17,15.16
268,1,17,36.37
268,2,17,10.4
268,3,17,19.84
269,1,17,45.86
269,2,17,20.03
269,3,17,33.98
270,1,17,47.95
270,2,17,44.95
270,3,17,45.51
271,1,17,47.72
271,2,17,44.92
271,3,17,48.06
272,1,17,47.17
272,2,17,36.33
272,3,17,46.2
273,1,17,46.34
273,2,17,30.41
273,3,17,45.0
274,1,17,46.82
274,2,17,30.07
274,3,17,45.38
275,1,17,45.18
275,2,17,29.33
275,3,17,42.49
