nd_id,ca_id,swhy_vl,hy,price_eur_mwh,volume_mwh
1,0,yr2015,436,42.61,2125.0
1,0,yr2015,437,48.07,2131.5
1,0,yr2015,438,53.59,2482.7
1,0,yr2015,439,56.26,2831.8
1,0,yr2015,440,55.14,2814.0
1,0,yr2015,441,54.6,2410.1
1,0,yr2015,442,54.59,2758.9
1,0,yr2015,443,52.9,2648.5
1,0,yr2015,444,51.97,2659.4
1,0,yr2015,445,52.0,2871.0
1,0,yr2015,446,51.79,2675.4
1,0,yr2015,447,52.07,2529.1
1,0,yr2015,448,56.91,2412.6
1,0,yr2015,449,62.6,2946.0
1,0,yr2015,450,55.62,2949.9
1,0,yr2015,451,52.81,2616.2
1,0,yr2015,452,49.93,2000.9
1,0,yr2015,453,49.99,2263.2
1,0,yr2015,454,49.56,2281.0
1,0,yr2015,455,43.24,2150.7
1,0,yr2015,456,40.58,2293.7
1,0,yr2015,457,40.04,2362.6
1,0,yr2015,458,38.24,2231.1
1,0,yr2015,459,37.05,2150.8
1,0,yr2015,460,39.79,2040.9
1,0,yr2015,461,47.6,2432.5
1,0,yr2015,462,53.61,2291.6
1,0,yr2015,463,59.1,3088.1
1,0,yr2015,464,57.16,3215.2
1,0,yr2015,465,56.54,3457.2
1,0,yr2015,466,54.03,3088.7
1,0,yr2015,467,51.62,3046.1
1,0,yr2015,468,51.22,3074.0
1,0,yr2015,469,51.28,3376.6
1,0,yr2015,470,50.15,3605.7
1,0,yr2015,471,51.21,3482.4
1,0,yr2015,472,56.39,3564.0
1,0,yr2015,473,62.41,3231.1
1,0,yr2015,474,55.24,3382.0
1,0,yr2015,475,51.28,3216.5
1,0,yr2015,476,48.98,3331.6
1,0,yr2015,477,48.79,2877.6
1,0,yr2015,478,47.64,2695.3
1,0,yr2015,479,45.77,2141.4
1,0,yr2015,480,43.52,2380.2
1,0,yr2015,481,41.82,2669.6
1,0,yr2015,482,41.14,2372.5
1,0,yr2015,483,40.07,2347.6
1,0,yr2015,484,42.26,2273.1
1,0,yr2015,485,47.64,2625.9
1,0,yr2015,486,54.41,3076.7
1,0,yr2015,487,58.65,2846.4
1,0,yr2015,488,59.01,2881.8
1,0,yr2015,489,57.61,3144.2
1,0,yr2015,490,55.64,3209.2
1,0,yr2015,491,52.64,2932.1
1,0,yr2015,492,52.24,2935.4
1,0,yr2015,493,52.06,2693.2
1,0,yr2015,494,52.78,2704.2
1,0,yr2015,495,52.97,2939.1
1,0,yr2015,496,59.0,2791.8
1,0,yr2015,497,63.97,3074.8
1,0,yr2015,498,56.34,3219.2
1,0,yr2015,499,51.56,2644.0
